year,disc,ring.width_mm
2003,K27B,0.085
2004,K27B,0.085
2005,K27B,0.013
2006,K27B,0.138
1951,K28B,0.271
1952,K28B,0.175
1953,K28B,0.153
1954,K28B,0.079
1955,K28B,0.058
1956,K28B,0.055
1957,K28B,0.054
1958,K28B,0.076
1959,K28B,0.026
1960,K28B,0.031
1961,K28B,0.06
1962,K28B,0.071
1963,K28B,0.125
1964,K28B,0.206
1965,K28B,0.152
1966,K28B,0.154
1967,K28B,0.154
1968,K28B,0.13
1969,K28B,0.014
1970,K28B,0.091
1971,K28B,0.146
1972,K28B,0.174
1973,K28B,0.184
1974,K28B,0.076
1975,K28B,0.193
1976,K28B,0.182
1977,K28B,0.021
1978,K28B,0.102
1979,K28B,0.221
1980,K28B,0.168
1981,K28B,0.133
1982,K28B,0.141
1983,K28B,0.091
1984,K28B,0.164
1985,K28B,0.08
1986,K28B,0.07
1987,K28B,0.143
1988,K28B,0.056
1989,K28B,0.13
1990,K28B,0.126
1991,K28B,0.198
1992,K28B,0.239
1993,K28B,0.263
1994,K28B,0.151
1995,K28B,0.143
1996,K28B,0.044
1997,K28B,0.237
1998,K28B,0.166
1999,K28B,0.16
2000,K28B,0.098
2001,K28B,0.038
2002,K28B,0.15
2003,K28B,0.036
2004,K28B,0.064
2005,K28B,0.038
2006,K28B,0.132
1955,K3B,0.25
1956,K3B,0.149
1957,K3B,0.239
1958,K3B,0.284
1959,K3B,0.281
1960,K3B,0.124
1961,K3B,0.336
1962,K3B,0.193
1963,K3B,0.243
1964,K3B,0.156
1965,K3B,0.136
1966,K3B,0.26
1967,K3B,0.24
1968,K3B,0.095
1969,K3B,0.184
1970,K3B,0.207
1971,K3B,0.238
1972,K3B,0.255
1973,K3B,0.087
1974,K3B,0.15
1975,K3B,0.234
1976,K3B,0.042
1977,K3B,0.054
1978,K3B,0.175
1979,K3B,0.261
1980,K3B,0.231
1981,K3B,0.354
1982,K3B,0.018
1983,K3B,0.041
1984,K3B,0.152
1985,K3B,0.163
1986,K3B,0.234
1987,K3B,0.268
1988,K3B,0.169
1989,K3B,0.21
1990,K3B,0.281
1991,K3B,0.376
1992,K3B,0.294
1993,K3B,0.254
1994,K3B,0.321
1995,K3B,0.3
1996,K3B,0.149
1997,K3B,0.185
1998,K3B,0.178
1999,K3B,0.133
2000,K3B,0.125
2001,K3B,0.252
2002,K3B,0.322
2003,K3B,0.194
2004,K3B,0.156
1928,K4B,0.17
1929,K4B,0.313
1930,K4B,0.17
1931,K4B,0.189
1932,K4B,0.232
1933,K4B,0.209
1934,K4B,0.125
1935,K4B,0.262
1936,K4B,0.201
1937,K4B,0.194
1938,K4B,0.156
1939,K4B,0.178
1940,K4B,0.134
1941,K4B,0.251
1942,K4B,0.112
1943,K4B,0.03
1944,K4B,0.152
1945,K4B,0.166
1946,K4B,0.208
1947,K4B,0.261
1948,K4B,0.236
1949,K4B,0.113
1950,K4B,0.03
1951,K4B,0.135
1952,K4B,0.09
1953,K4B,0.088
1954,K4B,0.173
1955,K4B,0.227
1956,K4B,0.302
1957,K4B,0.224
1958,K4B,0.062
1959,K4B,0.127
1960,K4B,0.107
1961,K4B,0.161
1962,K4B,0.222
1963,K4B,0.152
1964,K4B,0.214
1965,K4B,0.152
1966,K4B,0.027
1967,K4B,0.154
1968,K4B,0.197
1969,K4B,0.263
1970,K4B,0.355
1971,K4B,0.056
1972,K4B,0.225
1973,K4B,0.124
1974,K4B,0.054
1975,K4B,0.072
1976,K4B,0.162
1977,K4B,0.155
1978,K4B,0.138
1979,K4B,0.189
1980,K4B,0.025
1981,K4B,0.016
1982,K4B,0.051
1983,K4B,0.064
1984,K4B,0.03
1985,K4B,0.164
1986,K4B,0.237
1987,K4B,0.176
1988,K4B,0.155
1989,K4B,0.162
1990,K4B,0.207
1991,K4B,0.179
1992,K4B,0.207
1993,K4B,0.269
1994,K4B,0.149
1995,K4B,0.192
1996,K4B,0.203
1997,K4B,0.116
1998,K4B,0.031
1999,K4B,0.064
2000,K4B,0.09
2001,K4B,0.163
2002,K4B,0.218
2003,K4B,0.129
2004,K4B,0.059
1977,L1132B,0.271
1978,L1132B,0.383
1979,L1132B,0.325
1980,L1132B,0.211
1981,L1132B,0.039
1982,L1132B,0.154
1983,L1132B,0.164
1984,L1132B,0.197
1985,L1132B,0.178
1986,L1132B,0.097
1987,L1132B,0.16
1988,L1132B,0.153
1989,L1132B,0.152
1990,L1132B,0.23
1991,L1132B,0.179
1992,L1132B,0.139
1993,L1132B,0.158
1994,L1132B,0.179
1995,L1132B,0.184
1996,L1132B,0.12
1997,L1132B,0.226
1998,L1132B,0.266
1999,L1132B,0.183
2000,L1132B,0.047
2001,L1132B,0.151
2002,L1132B,0.141
2003,L1132B,0.113
2004,L1132B,0.133
2005,L1132B,0.072
2006,L1132B,0.12
2007,L1132B,0.154
2008,L1132B,0.084
2009,L1132B,0.085
2010,L1132B,0.041
1970,L1141,0.302
1971,L1141,0.272
1972,L1141,0.179
1973,L1141,0.178
1974,L1141,0.073
1975,L1141,0.129
1976,L1141,0.272
1977,L1141,0.153
1978,L1141,0.137
1979,L1141,0.094
1980,L1141,0.099
1981,L1141,0.158
1982,L1141,0.149
1983,L1141,0.139
1984,L1141,0.172
1985,L1141,0.109
1986,L1141,0.163
1987,L1141,0.102
1988,L1141,0.124
1989,L1141,0.144
1990,L1141,0.129
1991,L1141,0.098
1992,L1141,0.108
1993,L1141,0.124
1994,L1141,0.081
1995,L1141,0.105
1996,L1141,0.155
1997,L1141,0.065
1998,L1141,0.098
1999,L1141,0.117
2000,L1141,0.113
2001,L1141,0.095
2002,L1141,0.113
2003,L1141,0.128
2004,L1141,0.102
2005,L1141,0.07
2006,L1141,0.05
2007,L1141,0.1
2008,L1141,0.133
2009,L1141,0.117
2010,L1141,0.057
1955,L1161,0.303
1956,L1161,0.368
1957,L1161,0.264
1958,L1161,0.242
1959,L1161,0.128
1960,L1161,0.089
1961,L1161,0.102
1962,L1161,0.126
1963,L1161,0.174
1964,L1161,0.161
1965,L1161,0.093
1966,L1161,0.069
1967,L1161,0.102
1968,L1161,0.109
1969,L1161,0.106
1970,L1161,0.22
1971,L1161,0.151
1972,L1161,0.037
1973,L1161,0.022
1974,L1161,0.014
1975,L1161,0.032
1976,L1161,0.023
1977,L1161,0.133
1978,L1161,0.074
1979,L1161,0.184
1980,L1161,0.179
1981,L1161,0.079
1982,L1161,0.075
1983,L1161,0.097
1984,L1161,0.024
1985,L1161,0.054
1986,L1161,0.038
1987,L1161,0.055
1988,L1161,0.047
1989,L1161,0.079
1990,L1161,0.035
1991,L1161,0.088
1992,L1161,0.093
1993,L1161,0.092
1994,L1161,0.059
1995,L1161,0.087
1996,L1161,0.114
1997,L1161,0.108
1998,L1161,0.126
1999,L1161,0.143
2000,L1161,0.115
2001,L1161,0.082
2002,L1161,0.163
2003,L1161,0.18
2004,L1161,0.183
2005,L1161,0.027
2006,L1161,0.017
2007,L1161,0.056
2008,L1161,0.097
2009,L1161,0.046
2010,L1161,0.026
1975,L1223,0.2
1976,L1223,0.145
1977,L1223,0.204
1978,L1223,0.179
1979,L1223,0.123
1980,L1223,0.181
1981,L1223,0.014
1982,L1223,0.178
1983,L1223,0.137
1984,L1223,0.153
1985,L1223,0.081
1986,L1223,0.082
1987,L1223,0.136
1988,L1223,0.104
1989,L1223,0.086
1990,L1223,0.167
1991,L1223,0.18
1992,L1223,0.145
1993,L1223,0.131
1994,L1223,0.171
1995,L1223,0.173
1996,L1223,0.09
1997,L1223,0.238
1998,L1223,0.181
1999,L1223,0.125
2000,L1223,0.123
2001,L1223,0.141
2002,L1223,0.153
2003,L1223,0.13
2004,L1223,0.126
2005,L1223,0.007
2006,L1223,0.116
2007,L1223,0.098
2008,L1223,0.096
2009,L1223,0.068
2010,L1223,0.036
1978,L12B,0.384
1979,L12B,0.385
1980,L12B,0.251
1981,L12B,0.23
1982,L12B,0.186
1983,L12B,0.134
1984,L12B,0.168
1985,L12B,0.169
1986,L12B,0.129
1987,L12B,0.171
1988,L12B,0.131
1989,L12B,0.168
1990,L12B,0.228
1991,L12B,0.204
1992,L12B,0.174
1993,L12B,0.207
1994,L12B,0.301
1995,L12B,0.233
1996,L12B,0.134
1997,L12B,0.215
1998,L12B,0.209
1999,L12B,0.186
2000,L12B,0.14
2001,L12B,0.22
2002,L12B,0.189
2003,L12B,0.096
2004,L12B,0.107
2005,L12B,0.016
2006,L12B,0.09
2007,L12B,0.115
2008,L12B,0.114
2009,L12B,0.038
2010,L12B,0.007
1978,L13B,0.139
1979,L13B,0.223
1980,L13B,0.266
1981,L13B,0.033
1982,L13B,0.213
1983,L13B,0.126
1984,L13B,0.205
1985,L13B,0.263
1986,L13B,0.23
1987,L13B,0.318
1988,L13B,0.227
1989,L13B,0.179
1990,L13B,0.209
1991,L13B,0.31
1992,L13B,0.278
1993,L13B,0.312
1994,L13B,0.307
1995,L13B,0.236
1996,L13B,0.186
1997,L13B,0.326
1998,L13B,0.259
1999,L13B,0.172
2000,L13B,0.082
2001,L13B,0.21
2002,L13B,0.207
2003,L13B,0.126
2004,L13B,0.109
2005,L13B,0.058
2006,L13B,0.118
2007,L13B,0.138
2008,L13B,0.112
2009,L13B,0.124
2010,L13B,0.049
1980,L14B,0.193
1981,L14B,0.156
1982,L14B,0.031
1983,L14B,0.107
1984,L14B,0.098
1985,L14B,0.075
1986,L14B,0.191
1987,L14B,0.19
1988,L14B,0.186
1989,L14B,0.159
1990,L14B,0.189
1991,L14B,0.25
1992,L14B,0.203
1993,L14B,0.275
1994,L14B,0.259
1995,L14B,0.205
