year,disc,ring.width_mm
2008,T1SF30,0.108
2009,T1SF30,0.115
2010,T1SF30,0.121
2011,T1SF30,0.072
2012,T1SF30,0.12
2013,T1SF30,0.077
1991,T1SF6,0.079
1992,T1SF6,0.135
1993,T1SF6,0.405
1994,T1SF6,0.355
1995,T1SF6,0.261
1996,T1SF6,0.152
1997,T1SF6,0.243
1998,T1SF6,0.406
1999,T1SF6,0.282
2000,T1SF6,0.239
2001,T1SF6,0.291
2002,T1SF6,0.33
2003,T1SF6,0.256
2004,T1SF6,0.212
2005,T1SF6,0.07
2006,T1SF6,0.301
2007,T1SF6,0.352
2008,T1SF6,0.181
2009,T1SF6,0.167
2010,T1SF6,0.121
2011,T1SF6,0.025
2012,T1SF6,0.278
2013,T1SF6,0.211
1991,T2SF24,0.096
1992,T2SF24,0.185
1993,T2SF24,0.347
1994,T2SF24,0.302
1995,T2SF24,0.241
1996,T2SF24,0.185
1997,T2SF24,0.233
1998,T2SF24,0.314
1999,T2SF24,0.189
2000,T2SF24,0.113
2001,T2SF24,0.136
2002,T2SF24,0.137
2003,T2SF24,0.172
2004,T2SF24,0.163
2005,T2SF24,0.035
2006,T2SF24,0.285
2007,T2SF24,0.398
2008,T2SF24,0.201
2009,T2SF24,0.194
2010,T2SF24,0.271
2011,T2SF24,0.169
2012,T2SF24,0.309
2013,T2SF24,0.222
1991,T2SF30,0.096
1992,T2SF30,0.185
1993,T2SF30,0.347
1994,T2SF30,0.302
1995,T2SF30,0.241
1996,T2SF30,0.185
1997,T2SF30,0.233
1998,T2SF30,0.314
1999,T2SF30,0.189
2000,T2SF30,0.113
2001,T2SF30,0.136
2002,T2SF30,0.137
2003,T2SF30,0.172
2004,T2SF30,0.163
2005,T2SF30,0.035
2006,T2SF30,0.285
2007,T2SF30,0.398
2008,T2SF30,0.201
2009,T2SF30,0.194
2010,T2SF30,0.271
2011,T2SF30,0.169
2012,T2SF30,0.309
2013,T2SF30,0.222
1990,T3SM18,0.083
1991,T3SM18,0.366
1992,T3SM18,0.197
1993,T3SM18,0.264
1994,T3SM18,0.151
1995,T3SM18,0.204
1996,T3SM18,0.166
1997,T3SM18,0.177
1998,T3SM18,0.434
1999,T3SM18,0.349
2000,T3SM18,0.184
2001,T3SM18,0.257
2002,T3SM18,0.244
2003,T3SM18,0.2
2004,T3SM18,0.25
2005,T3SM18,0.029
2006,T3SM18,0.264
2007,T3SM18,0.443
