SITE,SUBSITE,TRTMT,PLOT,YEAR,SPP,STATUS,TISSUE,X,Y,Hit Order,Abundance,Height
QHI,HE,CTL,1,1999,XXXothermoss,LIVE,LEAF,9,6,NA,1,0
QHI,HE,CTL,1,1999,FESBAF,STANDINGDEAD,LEAF,9,7,NA,1,8.5
QHI,HE,CTL,1,1999,XXXlitter,LITTER,NA,9,7,NA,1,
QHI,HE,CTL,1,1999,POLBIS,LIVE,LEAF,9,8,NA,1,13.5
QHI,HE,CTL,1,1999,FESBAF,STANDINGDEAD,LEAF,9,8,NA,1,
QHI,HE,CTL,1,1999,XXXlitter,LITTER,NA,9,8,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,9,9,NA,1,7
QHI,HE,CTL,1,1999,XXXlitter,LITTER,NA,9,9,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,9,10,NA,4,10.5
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,9,10,NA,1,
QHI,HE,CTL,1,1999,SALPUL,LIVE,LEAF,10,1,NA,2,7
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,10,1,NA,3,
QHI,HE,CTL,1,1999,XXXothermoss,LIVE,LEAF,10,1,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,10,2,NA,3,11
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,10,2,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,10,3,NA,3,8
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,10,3,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,10,4,NA,4,9.5
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,10,4,NA,1,
QHI,HE,CTL,1,1999,DRYINT,LIVE,LEAF,10,5,NA,1,0.5
QHI,HE,CTL,1,1999,XXXothermoss,LIVE,LEAF,10,5,NA,1,
QHI,HE,CTL,1,1999,DRYINT,LIVE,LEAF,10,6,NA,1,0.5
QHI,HE,CTL,1,1999,XXXothermoss,LIVE,LEAF,10,6,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,10,7,NA,3,12
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,10,7,NA,1,
QHI,HE,CTL,1,1999,XXXothermoss,LIVE,LEAF,10,7,NA,1,
QHI,HE,CTL,1,1999,DRYINT,LIVE,LEAF,10,8,NA,2,0
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,10,8,NA,3,
QHI,HE,CTL,1,1999,XXXlitter,LITTER,NA,10,8,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,10,9,NA,1,0
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,10,9,NA,1,
QHI,HE,CTL,1,1999,XXXlitter,LITTER,NA,10,9,NA,1,
QHI,HE,CTL,1,1999,ERIVAG,LIVE,LEAF,10,10,NA,2,5
QHI,HE,CTL,1,1999,ERIVAG,STANDINGDEAD,LEAF,10,10,NA,1,
QHI,HE,CTL,2,1999,DACARC,LIVE,LEAF,1,1,NA,1,0
QHI,HE,CTL,2,1999,POAARC,STANDINGDEAD,LEAF,1,1,NA,1,
QHI,HE,CTL,2,1999,SALPUL,STANDINGDEAD,LEAF,1,1,NA,1,
QHI,HE,CTL,2,1999,XXXlitter,LITTER,NA,1,1,NA,1,
QHI,HE,CTL,2,1999,SALPUL,LIVE,LEAF,1,2,NA,3,8
QHI,HE,CTL,2,1999,XXXlitter,LITTER,NA,1,2,NA,1,
QHI,HE,CTL,2,1999,SALPUL,STANDINGDEAD,STEM,1,3,NA,1,0
QHI,HE,CTL,2,1999,SALRET,LIVE,LEAF,1,3,NA,1,
QHI,HE,CTL,2,1999,XXXlitter,LITTER,NA,1,3,NA,1,
QHI,HE,CTL,2,1999,SALRET,LIVE,LEAF,1,4,NA,2,2
QHI,HE,CTL,2,1999,POAARC,LIVE,LEAF,1,4,NA,1,
QHI,HE,CTL,2,1999,XXXbareground,NA,NA,1,4,NA,1,
QHI,HE,CTL,2,1999,SALRET,LIVE,LEAF,1,5,NA,1,0
QHI,HE,CTL,2,1999,ERIVAG,LIVE,LEAF,1,6,NA,1,9.5
QHI,HE,CTL,2,1999,XXXlitter,LITTER,NA,1,6,NA,1,
QHI,HE,CTL,2,1999,SALPUL,LIVE,LEAF,1,7,NA,1,5
QHI,HE,CTL,2,1999,ERIVAG,STANDINGDEAD,LEAF,1,7,NA,1,
QHI,HE,CTL,2,1999,SALPUL,LIVE,STEM,1,7,NA,1,
QHI,HE,CTL,2,1999,XXXlitter,LITTER,NA,1,7,NA,1,
QHI,HE,CTL,2,1999,ERIVAG,LIVE,LEAF,1,8,NA,2,7
QHI,HE,CTL,2,1999,ERIVAG,STANDINGDEAD,LEAF,1,8,NA,2,
QHI,HE,CTL,2,1999,ERIVAG,LIVE,LEAF,1,9,NA,1,3.5
QHI,HE,CTL,2,1999,ERIVAG,STANDINGDEAD,LEAF,1,9,NA,2,
QHI,HE,CTL,2,1999,XXXothermoss,LIVE,LEAF,1,9,NA,1,
QHI,HE,CTL,2,1999,SALPUL,LIVE,LEAF,2,1,NA,1,5.5
QHI,HE,CTL,2,1999,XXXlitter,LITTER,NA,2,1,NA,1,
QHI,HE,CTL,2,1999,HIEALP,LIVE,LEAF,2,2,NA,1,1.5
QHI,HE,CTL,2,1999,XXXlitter,LITTER,NA,2,2,NA,1,
QHI,HE,CTL,2,1999,SALRET,LIVE,LEAF,2,3,NA,1,1
QHI,HE,CTL,2,1999,XXXothermoss,LIVE,LEAF,2,3,NA,1,
QHI,HE,CTL,2,1999,XXXbareground,NA,NA,2,4,NA,1,0
QHI,HE,CTL,2,1999,XXXbareground,NA,NA,2,5,NA,1,0
QHI,HE,CTL,2,1999,SALRET,LIVE,LEAF,2,6,NA,1,0
QHI,HE,CTL,2,1999,SALRET,STANDINGDEAD,STEM,2,6,NA,1,
QHI,HE,CTL,2,1999,XXXlitter,LITTER,NA,2,6,NA,1,
QHI,HE,CTL,2,1999,SALPUL,LIVE,LEAF,2,7,NA,2,7.5
QHI,HE,CTL,2,1999,SALRET,LIVE,LEAF,2,7,NA,1,
QHI,HE,CTL,2,1999,XXXlitter,LITTER,NA,2,7,NA,1,
QHI,HE,CTL,2,1999,ERIVAG,STANDINGDEAD,LEAF,2,8,NA,3,0
QHI,HE,CTL,2,1999,XXXlitter,LITTER,NA,2,8,NA,1,
QHI,HE,CTL,2,1999,SALPUL,LIVE,LEAF,2,9,NA,4,9.5
QHI,HE,CTL,2,1999,ERIVAG,STANDINGDEAD,LEAF,2,9,NA,3,
QHI,HE,CTL,2,1999,CETCUC,LIVE,LEAF,3,1,NA,1,0
QHI,HE,CTL,2,1999,XXXlitter,LITTER,NA,3,2,NA,1,0
QHI,HE,CTL,2,1999,CETCUC,LIVE,LEAF,3,3,NA,1,0
QHI,HE,CTL,2,1999,PEDCAP,LIVE,LEAF,3,4,NA,1,1.5
QHI,HE,CTL,2,1999,XXXbareground,NA,NA,3,4,NA,1,
QHI,HE,CTL,2,1999,DRYINT,LIVE,LEAF,3,5,NA,1,3
QHI,HE,CTL,2,1999,XXXbareground,NA,NA,3,5,NA,1,
QHI,HE,CTL,2,1999,XXXlitter,LITTER,NA,3,6,NA,1,0
QHI,HE,CTL,2,1999,XXXothermoss,LIVE,LEAF,3,6,NA,1,
QHI,HE,CTL,2,1999,SALRET,LIVE,LEAF,3,7,NA,1,1.5
QHI,HE,CTL,2,1999,XXXotherlichen,LIVE,LEAF,3,7,NA,1,
