data,year,date,longitude,latitude,vegType,NDVI
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.568278193
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.543121099
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.544748724
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.565963149
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.614786685
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.558685005
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.615434229
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.527609587
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.5267874
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.561120927
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.617053688
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.651436985
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.587717652
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.54839009
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.573707938
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.638394475
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.654648781
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.584579945
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.475440413
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.630319357
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.522444308
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.50314647
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.541122913
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.60494256
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.611357212
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.583343863
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.490896314
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.535271287
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.58810252
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.537720025
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.554322422
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.478061795
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.609568655
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.62129873
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.604363561
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.617811203
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.644272983
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.594075799
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.557840347
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.660673678
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.53802222
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.54762435
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.602695823
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.587267697
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.585509121
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.540474117
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.587182581
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.58230859
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.534967721
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.502945781
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.541214824
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.54741776
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.596121728
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.53930366
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.565532207
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.620778561
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.488140911
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.538844645
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.596997976
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.541861773
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.528206885
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.562713265
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.534964025
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.626332104
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.588878036
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.608534217
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.567852259
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.563685596
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.623586595
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.566125393
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.607970178
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.63004154
Drone,2017,date28Jul2017,-138.9209785,69.59018006,Herschel,0.526001036
